# index,recall,prec,spec,f1,prauc,auc
1.0000,0.7736,0.8723,0.9326,0.8200,0.8843,0.9057
2.0000,0.7736,0.8913,0.9438,0.8283,0.8919,0.9054
3.0000,0.7736,0.9111,0.9545,0.8367,0.8625,0.9160
4.0000,0.7736,0.8542,0.9213,0.8119,0.8840,0.9050
5.0000,0.7736,0.8367,0.9091,0.8039,0.8771,0.8977
6.0000,0.7736,0.8913,0.9438,0.8283,0.8888,0.9080
7.0000,0.7736,0.8542,0.9205,0.8119,0.8882,0.8975
8.0000,0.7736,0.9111,0.9551,0.8367,0.8868,0.9063
9.0000,0.7736,0.8542,0.9213,0.8119,0.9056,0.9084
10.0000,0.7736,0.8200,0.8989,0.7961,0.8781,0.8963
