# seed,recall,prec,spec,f1,prauc,auc
1.0000,0.1321,1.0000,1.0000,0.2333,0.9292,0.9017
2.0000,0.1321,0.7778,0.9623,0.2258,0.8225,0.8775
3.0000,0.1321,1.0000,1.0000,0.2333,0.9524,0.9352
4.0000,0.1321,0.8750,0.9811,0.2295,0.8699,0.8918
5.0000,0.1321,1.0000,1.0000,0.2333,0.9202,0.9053
6.0000,0.1321,1.0000,1.0000,0.2333,0.9055,0.8879
7.0000,0.1321,0.8750,0.9811,0.2295,0.9044,0.9039
8.0000,0.1321,1.0000,1.0000,0.2333,0.8778,0.8928
9.0000,0.1321,0.8750,0.9811,0.2295,0.9013,0.8985
10.0000,0.1321,1.0000,1.0000,0.2333,0.9307,0.9042
