# seed,recall,prec,spec,f1,prauc,auc
1.0000,0.7736,0.9762,0.9811,0.8632,0.9292,0.9017
2.0000,0.7736,0.8542,0.8679,0.8119,0.8225,0.8775
3.0000,0.7736,0.9535,0.9623,0.8542,0.9524,0.9352
4.0000,0.7736,0.9111,0.9245,0.8367,0.8699,0.8918
5.0000,0.7736,0.9318,0.9434,0.8454,0.9202,0.9053
6.0000,0.7736,0.8723,0.8868,0.8200,0.9055,0.8879
7.0000,0.7736,0.9318,0.9434,0.8454,0.9044,0.9039
8.0000,0.7736,0.8913,0.9057,0.8283,0.8778,0.8928
9.0000,0.7736,0.8913,0.9057,0.8283,0.9013,0.8985
10.0000,0.7736,0.9111,0.9245,0.8367,0.9307,0.9042
