# seed,recall,prec,spec,f1,prauc,auc
1.0000,0.7736,0.6029,0.9434,0.6777,0.6854,0.9027
2.0000,0.7736,0.5125,0.9182,0.6165,0.5698,0.8989
3.0000,0.7736,0.5942,0.9413,0.6721,0.6342,0.9077
4.0000,0.7736,0.5694,0.9350,0.6560,0.6693,0.9065
5.0000,0.7736,0.5857,0.9392,0.6667,0.6449,0.9055
6.0000,0.7736,0.4940,0.9119,0.6029,0.5938,0.8928
7.0000,0.7736,0.5256,0.9224,0.6260,0.5227,0.8904
8.0000,0.7736,0.5062,0.9161,0.6119,0.5324,0.8991
9.0000,0.7736,0.4659,0.9015,0.5816,0.5466,0.8892
10.0000,0.7736,0.5256,0.9224,0.6260,0.6224,0.8969
