# seed,recall,prec,spec,f1,prauc,auc
1.0000,0.7736,0.8723,0.9326,0.8200,0.8708,0.8881
2.0000,0.7736,0.8367,0.9101,0.8039,0.8004,0.8953
3.0000,0.7736,0.9111,0.9551,0.8367,0.8983,0.9239
4.0000,0.7736,0.8542,0.9213,0.8119,0.8326,0.8944
5.0000,0.7736,0.8723,0.9326,0.8200,0.8940,0.9069
6.0000,0.7736,0.8200,0.8989,0.7961,0.8801,0.8944
7.0000,0.7736,0.8913,0.9438,0.8283,0.8613,0.9006
8.0000,0.7736,0.7885,0.8764,0.7810,0.8412,0.8953
9.0000,0.7736,0.8200,0.8989,0.7961,0.8355,0.8847
10.0000,0.7736,0.8367,0.9101,0.8039,0.8957,0.9033
